fips	tvotes	clintonpct	sanderspct	undervt	ratio
12077	832	0.379807692	0.471153846	0.149038462	2.655738162
40005	1304	0.283742331	0.554447853	0.161809816	2.69233293
40055	595	0.275630252	0.557983193	0.166386555	2.734781685
12059	1197	0.28320802	0.517126149	0.199665831	2.782046618
40057	328	0.37195122	0.509146341	0.118902439	2.787829273
40061	1450	0.327586207	0.51862069	0.153793103	2.868487815
40029	717	0.189679219	0.635983264	0.174337517	2.917826243
40059	261	0.260536398	0.578544061	0.16091954	3.016381857
12067	984	0.299796748	0.509146341	0.191056911	3.067648223
40149	1165	0.250643777	0.600858369	0.148497854	3.088215236
40127	1189	0.266610597	0.56097561	0.172413793	3.160351647
40089	2512	0.28343949	0.523089172	0.193471338	3.191887395
40043	487	0.275154004	0.554414784	0.170431211	3.227984259
22059	451	0.301552106	0.407982262	0.290465632	3.357299267
40025	126	0.174603175	0.53968254	0.285714286	3.836886168
40129	462	0.216450216	0.58008658	0.203463203	3.889733843
22023	329	0.373860182	0.401215805	0.224924012	4.348251767
9001	77342	0.603152233	0.382651082	0.014196685	0.624550742
9003	90283	0.532724876	0.44798024	0.019294884	0.674187948
9005	16003	0.41573455	0.564206711	0.020058739	0.564032563
9007	18675	0.456064257	0.526800535	0.017135207	0.581681144
9009	78333	0.518657526	0.463087077	0.018255397	0.654297811
9011	24098	0.436384762	0.545065981	0.018549257	0.559149482
9013	14594	0.385089763	0.598465123	0.016445114	0.543445994
9015	8994	0.377585057	0.595841672	0.026573271	0.553934883
10001	12483	0.587839462	0.398942562	0.013217976	0.835852305
10003	64818	0.595205036	0.397081058	0.007713907	0.7839703
10005	16332	0.614254225	0.363764389	0.021981386	0.890207768
24001	5524	0.418356264	0.446958726	0.134685011	1.091140441
24003	62835	0.567502188	0.383989815	0.048507997	1.116631835
24005	126412	0.578259975	0.370051894	0.051688131	1.212485009
24009	8993	0.574669187	0.361058601	0.064272212	0.863959391
24011	2189	0.513933303	0.412060302	0.074006396	1.281712414
24013	14070	0.463113006	0.475195451	0.061691542	0.871155004
24015	7409	0.454447294	0.452152787	0.093399919	1.246291458
24017	22169	0.682574767	0.281744779	0.035680455	0.900809039
24019	2990	0.602006689	0.318060201	0.07993311	1.25440496
24021	25978	0.518361691	0.435907306	0.045731003	0.769367913
24023	1865	0.407506702	0.471313673	0.121179625	1.01361178
24025	25972	0.518250424	0.416486986	0.06526259	1.004111666
24027	51211	0.602858761	0.36617133	0.030969909	0.799842615
24029	2651	0.550735571	0.384006035	0.065258393	1.16788714
24031	163063	0.670317607	0.311174209	0.018508184	0.792136184
24033	153527	0.741967211	0.242296143	0.015736646	0.967191575
24035	4368	0.536172161	0.402701465	0.061126374	0.972004976
24037	8641	0.526675153	0.395208888	0.078115959	0.947286131
24039	1814	0.626240353	0.293825799	0.079933848	1.164986513
24041	4217	0.611097937	0.342660659	0.046241404	1.056992408
24043	11873	0.492798787	0.409921671	0.097279542	0.88925394
24045	8937	0.588340606	0.348998545	0.062660848	1.195050351
24047	5382	0.558342624	0.360274991	0.081382386	1.169212431
24510	123949	0.654422383	0.312305868	0.033271749	1.040007123
42001	7981	0.481894499	0.509459967	0.008645533	0.862895142
42003	222214	0.55081588	0.44107032	0.0081138	1.046705705
42005	6069	0.481792717	0.49678695	0.021420333	1.247411092
42007	22878	0.566614215	0.417999825	0.01538596	1.163012824
42009	2831	0.489932886	0.488166726	0.021900389	1.276545628
42011	42403	0.482748862	0.507464095	0.009787043	0.949594414
42013	8193	0.465763457	0.518125229	0.016111315	0.969166683
42015	3605	0.488488211	0.497087379	0.014424411	0.769313287
42017	83824	0.559219317	0.430795476	0.009985207	0.862725543
42019	16380	0.520695971	0.464346764	0.014957265	1.031369351
42021	17644	0.470641578	0.501076853	0.028281569	1.353712448
42023	422	0.417061611	0.54028436	0.042654028	1.104000444
42025	6852	0.486573263	0.498832458	0.014594279	0.997086098
42027	18822	0.44793327	0.545584954	0.006481777	0.833692985
42029	59235	0.556849835	0.439706255	0.00344391	0.771615965
42031	3097	0.493380691	0.487568615	0.019050694	1.105784634
42033	6545	0.471199389	0.506951872	0.021848739	1.147546106
42035	3398	0.484696881	0.497351383	0.017951736	0.978871367
42037	5913	0.402841197	0.584305767	0.012853036	0.950699997
42039	7359	0.483625493	0.500475608	0.015898899	0.943328914
42041	23329	0.514252647	0.478674611	0.007072742	0.826736537
42043	32356	0.568580789	0.423692669	0.007726542	0.866941619
42045	74973	0.597214997	0.398023288	0.004761714	0.745432195
42047	3390	0.450737463	0.528318584	0.020943953	1.189289901
42049	37668	0.517972815	0.473346076	0.008681109	0.918146458
42051	15920	0.576884422	0.405213568	0.01790201	1.343258669
42053	482	0.520746888	0.458506224	0.020746888	0.987512425
42055	9091	0.51699483	0.4700253	0.01297987	0.903240206
42057	748	0.489304813	0.486631016	0.024064171	1.367858189
42059	4158	0.520923521	0.45021645	0.028860029	1.425104321
42061	3009	0.432701894	0.553007644	0.014290462	1.034847754
42063	7725	0.506796117	0.473009709	0.020194175	1.023298804
42065	2780	0.433093525	0.534532374	0.032374101	1.199453271
42067	1417	0.450247001	0.52293578	0.026817219	1.117840453
42069	40637	0.565273027	0.424859119	0.009867854	1.007515221
42071	41178	0.480353587	0.51488659	0.004759823	0.789172231
42073	9955	0.586840784	0.39899548	0.014163737	1.102629657
42075	9100	0.497692308	0.492527473	0.00978022	0.876361675
42077	37725	0.523976143	0.470298211	0.005725646	0.910127007
42079	39516	0.51953639	0.468772143	0.011691467	1.041662264
42081	8648	0.439754857	0.545444033	0.01480111	0.992185761
42083	2216	0.457129964	0.526624549	0.016245487	0.844494469
42085	11123	0.568461746	0.414906051	0.016632204	0.945740799
42087	2487	0.482911138	0.499396864	0.017691998	1.130162901
42089	14817	0.533238847	0.458594857	0.008166295	0.852048721
42091	127669	0.590064934	0.406621811	0.003313255	0.831970426
42093	1764	0.479024943	0.502834467	0.01814059	0.945569611
42095	34748	0.512374813	0.478416024	0.009209163	0.913577868
42097	7091	0.48455789	0.500211536	0.015230574	1.000157616
42099	3116	0.425545571	0.561938383	0.012516046	0.85948623
42101	339937	0.625954221	0.369739099	0.00430668	0.92262854
42103	3917	0.512126628	0.480980342	0.00689303	0.805210142
42105	979	0.410623085	0.568947906	0.020429009	1.019174776
42107	12737	0.512915129	0.474208997	0.012875873	0.933241966
42109	2231	0.50425818	0.484087853	0.011653967	0.795839773
42111	6460	0.481733746	0.496130031	0.022136223	1.310081503
42113	620	0.503225806	0.475806452	0.020967742	1.019638006
42115	3324	0.505415162	0.481949458	0.012635379	0.805528381
42117	2287	0.433318758	0.552689112	0.013992129	0.860707186
42119	3081	0.502434275	0.493021746	0.004543979	0.799067061
42121	4031	0.480029769	0.497395187	0.022575043	0.968228905
42123	3408	0.514377934	0.464201878	0.021420188	0.883562787
42125	26897	0.572182771	0.409450868	0.018366361	1.187800286
42127	3886	0.474009264	0.517241379	0.008749357	0.786733434
42129	45953	0.543337758	0.440297695	0.016364546	1.267002232
42131	2323	0.483426604	0.502798106	0.013775291	0.772057314
42133	36375	0.507079038	0.482006873	0.010914089	0.895768451
